setting:	(prec, auc)
crop_nonloc_19_cv.TM_CCOEFF_NORMED:	(0.8, 2.673383333333334)
crop_nonloc_21_cv.TM_CCOEFF_NORMED:	(0.8, 2.6724500000000004)
crop_eq_opening_9_cv.TM_SQDIFF:	(0.8, 2.667833333333334)
crop_nonloc_23_cv.TM_CCOEFF_NORMED:	(0.8, 2.6669833333333344)
crop_nonloc_25_cv.TM_CCOEFF_NORMED:	(0.8, 2.6616500000000003)
crop_eq_nonloc_21_cv.TM_SQDIFF:	(0.8, 2.659583333333334)
crop_nonloc_27_cv.TM_CCOEFF_NORMED:	(0.8, 2.6580500000000007)
crop_eq_opening_nonloc_9_cv.TM_SQDIFF:	(0.8, 2.6483666666666674)
crop_eq_nonloc_41_cv.TM_SQDIFF:	(0.8, 2.61755)
crop_eq_nonloc_39_cv.TM_SQDIFF:	(0.8, 2.610983333333334)
crop_eq_nonloc_37_cv.TM_SQDIFF:	(0.8, 2.6035500000000007)
crop_eq_nonloc_29_cv.TM_SQDIFF:	(0.8, 2.6001166666666675)
crop_eq_nonloc_35_cv.TM_SQDIFF:	(0.8, 2.5988500000000005)
crop_eq_nonloc_31_cv.TM_SQDIFF:	(0.8, 2.5967500000000006)
crop_eq_nonloc_33_cv.TM_SQDIFF:	(0.8, 2.5965500000000006)
crop_opening_33_cv.TM_SQDIFF:	(0.7666666666666667, 2.661283333333334)
crop_opening_23_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6375666666666673)
crop_opening_nonloc_25_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6322333333333336)
crop_eq_opening_31_cv.TM_SQDIFF:	(0.7666666666666667, 2.631166666666667)
crop_opening_13_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6284333333333336)
crop_eq_opening_29_cv.TM_SQDIFF:	(0.7666666666666667, 2.6253000000000006)
crop_opening_nonloc_23_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.625200000000001)
crop_eq_opening_25_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6197000000000004)
crop_opening_nonloc_13_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6183000000000005)
crop_nonloc_37_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.614366666666667)
crop_nonloc_35_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6131)
crop_nonloc_19_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.6123666666666674)
crop_nonloc_33_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.612033333333334)
crop_nonloc_21_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.611133333333334)
crop_nonloc_23_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.609833333333334)
crop_nonloc_25_cv.TM_CCORR_NORMED:	(0.7666666666666667, 2.609333333333334)
crop_opening_35_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.6033500000000003)
crop_opening_nonloc_15_cv.TM_SQDIFF:	(0.7666666666666667, 2.602683333333334)
crop_eq_nonloc_9_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.595016666666668)
crop_eq_nonloc_7_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.594300000000001)
crop_eq_nonloc_3_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5936666666666675)
crop_eq_0_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.593633333333334)
crop_eq_opening_1_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.593633333333334)
crop_eq_nonloc_1_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.593633333333334)
crop_eq_opening_nonloc_1_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.593633333333334)
crop_eq_nonloc_5_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.593533333333334)
crop_eq_nonloc_11_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5933333333333337)
crop_eq_nonloc_13_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5898000000000003)
crop_opening_27_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5862333333333343)
crop_eq_nonloc_15_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.585533333333334)
crop_eq_opening_nonloc_23_cv.TM_SQDIFF:	(0.7666666666666667, 2.5836000000000006)
crop_opening_nonloc_13_cv.TM_SQDIFF:	(0.7666666666666667, 2.578566666666667)
crop_eq_opening_31_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.571100000000001)
crop_eq_opening_29_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5661333333333336)
crop_eq_opening_15_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.553000000000001)
crop_opening_nonloc_15_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5529833333333336)
crop_eq_opening_nonloc_23_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.5479333333333347)
crop_eq_opening_19_cv.TM_SQDIFF_NORMED:	(0.7666666666666667, 2.538733333333334)
crop_eq_opening_nonloc_21_cv.TM_SQDIFF:	(0.7666666666666667, 2.5324833333333334)
crop_eq_opening_19_cv.TM_SQDIFF:	(0.7666666666666667, 2.5292000000000003)
crop_eq_opening_31_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.4979333333333336)
crop_opening_9_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.497433333333334)
crop_opening_nonloc_13_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.4864666666666673)
crop_opening_31_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.4680500000000003)
crop_eq_opening_25_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.466833333333334)
crop_eq_opening_13_cv.TM_SQDIFF:	(0.7666666666666667, 2.4603000000000006)
crop_eq_nonloc_3_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.399066666666667)
crop_eq_0_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.3989000000000007)
crop_eq_opening_1_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.3989000000000007)
crop_eq_nonloc_1_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.3989000000000007)
crop_eq_opening_nonloc_1_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.3989000000000007)
crop_eq_nonloc_5_cv.TM_CCOEFF_NORMED:	(0.7666666666666667, 2.398733333333334)
crop_eq_nonloc_17_cv.TM_SQDIFF:	(0.7666666666666667, 2.375866666666668)
crop_eq_nonloc_23_cv.TM_SQDIFF:	(0.7666666666666667, 2.306633333333334)
crop_eq_opening_7_cv.TM_SQDIFF:	(0.7666666666666667, 2.293466666666667)
crop_eq_nonloc_25_cv.TM_SQDIFF:	(0.7666666666666667, 2.2912666666666675)
crop_eq_opening_nonloc_7_cv.TM_SQDIFF:	(0.7666666666666667, 2.2869666666666673)
crop_eq_nonloc_27_cv.TM_SQDIFF:	(0.7666666666666667, 2.276700000000001)
crop_opening_35_cv.TM_SQDIFF:	(0.7333333333333333, 2.326633333333333)
crop_opening_nonloc_29_cv.TM_SQDIFF:	(0.7333333333333333, 2.325216666666666)
crop_eq_opening_nonloc_39_cv.TM_SQDIFF:	(0.7333333333333333, 2.317166666666666)
crop_opening_nonloc_37_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.315383333333333)
crop_opening_35_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.3119166666666664)
crop_eq_opening_nonloc_41_cv.TM_SQDIFF:	(0.7333333333333333, 2.3093999999999992)
crop_opening_29_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.3083499999999995)
crop_eq_opening_13_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.3033499999999996)
crop_opening_25_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.301616666666666)
crop_eq_opening_23_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.3011833333333334)
crop_eq_opening_nonloc_29_cv.TM_SQDIFF:	(0.7333333333333333, 2.3007166666666663)
crop_opening_33_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2907499999999996)
crop_eq_opening_nonloc_23_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.287983333333333)
crop_opening_nonloc_21_cv.TM_CCORR_NORMED:	(0.7333333333333333, 2.2843833333333325)
crop_eq_opening_25_cv.TM_SQDIFF:	(0.7333333333333333, 2.282933333333333)
crop_eq_opening_nonloc_25_cv.TM_SQDIFF:	(0.7333333333333333, 2.2729166666666663)
crop_opening_13_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2625999999999995)
crop_opening_15_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.256933333333333)
crop_opening_11_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.255783333333333)
crop_opening_nonloc_21_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.252416666666666)
crop_eq_opening_27_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2435499999999995)
crop_eq_opening_35_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.2400499999999997)
crop_nonloc_25_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.239116666666666)
crop_nonloc_27_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2353499999999995)
crop_nonloc_29_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.232333333333333)
crop_nonloc_33_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.230766666666666)
crop_nonloc_31_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.230733333333333)
crop_nonloc_41_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2299999999999995)
crop_nonloc_35_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2283666666666657)
crop_opening_nonloc_11_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2280666666666664)
